Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,GameLink,DateFetched
ULTRA: Rebirth,@Thetalies,All Ages,143,17681,7.3M+,Not Supported,Not Supported,7/4/2022,11/4/2024,20,N/A,4549,417,https://www.roblox.com/games/10110028480/ULTRA-Rebirth?gameSearchSessionInfo=490cdecf-1052-4356-b391-02a1ea3260d0&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=10110028480&amp;position=0&amp;universeId=3714940835,11/6/2024 21:59
Craft-Blox 😀😬😁😂 (Like Minecraft),Craftverse Studios,All Ages,82,126522,884.8K+,Supported,Supported,4/23/2024,10/25/2024,19,N/A,147,103,https://www.roblox.com/games/17256001633/Craft-Blox-Like-Minecraft?gameSearchSessionInfo=415faa83-658f-4f27-8093-9f6c9a521c43&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17256001633&amp;position=0&amp;universeId=5903535784,11/6/2024 21:59
a dusty trip [📜QUEST],Jandel's Road Trip,All Ages,14210,1235793,1.1B+,Supported,Supported,2/16/2024,11/3/2024,25,Adventure,1M+,139K+,https://www.roblox.com/games/16389395869/a-dusty-trip-QUEST?gameSearchSessionInfo=46176772-0972-49a5-90b8-3db21dc67baa&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16389395869&amp;position=0&amp;universeId=5650396773,11/6/2024 22:00
Color Run,Mega Fun game,All Ages,89,151625,171.7M+,Not Supported,Not Supported,4/6/2021,10/15/2023,12,Party &amp; Casual,36K+,59K+,https://www.roblox.com/games/6644653750/Color-Run?gameSearchSessionInfo=0b9b778b-170a-432e-99a8-e959afc4eca7&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6644653750&amp;position=0&amp;universeId=2496696953,11/6/2024 22:00
⭐ ZENVO! Car Dealership Tycoon,Foxzie,All Ages,9359,3102949,2.0B+,Not Supported,Not Supported,3/27/2018,11/6/2024,15,Simulation,1M+,101K+,https://www.roblox.com/games/1554960397/ZENVO-Car-Dealership-Tycoon?gameSearchSessionInfo=16a824cd-61e6-4d79-8af6-76edfacbf814&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=1554960397&amp;position=0&amp;universeId=605887098,11/6/2024 22:00
Uplift Games,Uplift Games - SUPPORT,All Ages,0,13,1845,Not Supported,Supported,8/24/2024,9/27/2024,50,N/A,9,11,https://www.roblox.com/games/132675322280203/Uplift-Games?gameSearchSessionInfo=f6e28991-9224-47dd-8a07-bc838c5eaa50&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=132675322280203&amp;position=0&amp;universeId=6460593376,11/6/2024 22:00
🪩  [DIVA  +15] SODAH,Benj Productions,All Ages,446,82970,13.4M+,Supported,Supported,1/8/2024,11/3/2024,50,Social,13K+,2115,https://www.roblox.com/games/15911371232/DIVA-15-SODAH?gameSearchSessionInfo=e889ebe0-56a5-47ee-8500-e9c82b4cafcf&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=15911371232&amp;position=0&amp;universeId=5501855768,11/6/2024 22:00
Arsenal,ROLVe,Ages 9+,4122,11174963,5.6B+,Not Supported,Not Supported,8/18/2015,11/5/2024,16,Shooter,4M+,623K+,https://www.roblox.com/games/286090429/Arsenal?gameSearchSessionInfo=2de56357-f174-40c9-b4e9-7b35eb5252d8&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=286090429&amp;position=0&amp;universeId=111958650,11/6/2024 22:00
💪Muscle Legends,Scriptbloxian Studios,Ages 9+,6876,2353947,1.8B+,Not Supported,Not Supported,8/9/2019,7/12/2024,20,Simulation,903K+,131K+,https://www.roblox.com/games/3623096087/Muscle-Legends?gameSearchSessionInfo=35b038ed-b189-4d07-aed5-e3a8e34ff309&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=3623096087&amp;position=0&amp;universeId=1268927906,11/6/2024 22:00
Banana Eats 🎃,@RyCitrus,Ages 9+,1657,1792872,692.7M+,Supported,Not Supported,11/23/2019,11/2/2024,10,Survival,428K+,56K+,https://www.roblox.com/games/4448566543/Banana-Eats?gameSearchSessionInfo=62321fc3-2d2e-4633-87f0-c8cb2873c5ea&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=4448566543&amp;position=0&amp;universeId=1415710834,11/6/2024 22:00
