Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,GameLink,DateFetched
Logo Block Race,Rhydac Fans,All Ages,1040,9599168,68.8M+,Supported,Supported,3/10/2024,11/4/2024,12,Sports &amp; Racing,16K+,2883,https://www.roblox.com/games/16690907935/Logo-Block-Race?gameSearchSessionInfo=481b951b-54d0-43bc-9dca-c079f357cf8f&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16690907935&amp;position=0&amp;universeId=5738778237,11/5/2024 23:10
Logo Race!,Guessing Games Fan Club,All Ages,813,2497658,33.4M+,Not Supported,Supported,4/18/2024,10/6/2024,40,Party &amp; Casual,4394,6111,https://www.roblox.com/games/17188200379/Logo-Race?gameSearchSessionInfo=2f1c13c8-c211-411c-9f42-b64d23f038dc&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17188200379&amp;position=0&amp;universeId=5885921223,11/5/2024 23:10
Lucky Avatars! [Outfits Catalog] ,@silky_dev,All Ages,949,2191024,41.5M+,Supported,Supported,10/2/2023,10/27/2024,20,Shopping,4202,1258,https://www.roblox.com/games/14941296246/Lucky-Avatars-Outfits-Catalog?gameSearchSessionInfo=80287994-d59b-46df-80cd-783fbc35f22f&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=14941296246&amp;position=0&amp;universeId=5147512977,11/5/2024 23:11
Luigi's Cafe &amp; Restaurant,Ultraw Games,All Ages,114,208502,56.2M+,Supported,Not Supported,3/29/2020,10/14/2023,35,Roleplay &amp; Avatar Sim,48K+,7597,https://www.roblox.com/games/4829955709/Luigis-Cafe-Restaurant?gameSearchSessionInfo=133ae060-04fc-4a2f-9aa6-b16e2eb9757f&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=4829955709&amp;position=0&amp;universeId=1636935967,11/5/2024 23:11
Mad City: Chapter 1,Schwifty Studios,Ages 13+,1933,13600,4.5M+,Not Supported,Supported,9/27/2024,10/1/2024,28,N/A,8384,676,https://www.roblox.com/games/91282350711571/Mad-City-Chapter-1?gameSearchSessionInfo=5c740efb-fb25-46dd-ba59-0e986065e81e&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=91282350711571&amp;position=0&amp;universeId=6605251156,11/5/2024 23:11
Mad City: Chapter 2,Schwifty Studios,Ages 9+,1034,5841707,2.5B+,Supported,Not Supported,12/3/2017,10/1/2024,32,Action,1M+,363K+,https://www.roblox.com/games/1224212277/Mad-City-Chapter-2?gameSearchSessionInfo=dbf79f6a-5ea1-4279-9c12-283231ddb288&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=1224212277&amp;position=0&amp;universeId=498490399,11/5/2024 23:11
Madi's Wardrobe,@sinhaleseunit,Ages 9+,785,21809,2.7M+,Not Supported,Not Supported,7/6/2024,10/27/2024,1,N/A,8517,1826,https://www.roblox.com/games/18352669816/Madis-Wardrobe?gameSearchSessionInfo=ec1a57a9-bd1c-4596-bd7b-218f6f6e5e77&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=18352669816&amp;position=0&amp;universeId=6221790572,11/5/2024 23:11
Mall Tycoon,Grandma's Favourite Games,All Ages,632,1228214,398.2M+,Not Supported,Not Supported,9/26/2020,2/12/2024,6,Simulation,389K+,28K+,https://www.roblox.com/games/5736409216/Mall-Tycoon?gameSearchSessionInfo=2e090747-43ed-4a73-a0b1-0666d1ad9fd7&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=5736409216&amp;position=0&amp;universeId=2033913602,11/5/2024 23:11
Math Answer or Die,BlueFishStudio,All Ages,1057,130578,241.0M+,Not Supported,Not Supported,2/6/2023,4/14/2024,8,Party &amp; Casual,47K+,12K+,https://www.roblox.com/games/12398414727/Math-Answer-or-Die?gameSearchSessionInfo=19c6cbc4-8bf0-4741-9a4d-da06687f167c&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=12398414727&amp;position=0&amp;universeId=4362911786,11/5/2024 23:11
Math Tower Race,Team Ry LLC,All Ages,3305,45373,55.9M+,Supported,Not Supported,5/22/2024,11/3/2024,8,Party &amp; Casual,25K+,2958,https://www.roblox.com/games/17571821642/Math-Tower-Race?gameSearchSessionInfo=f525d7af-c09a-4fce-80a9-59570bfc0f54&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17571821642&amp;position=0&amp;universeId=6015491985,11/5/2024 23:11
Meme Race 😂 ,Box7! Studios,All Ages,702,228882,6.9M+,Not Supported,Not Supported,8/3/2024,11/5/2024,24,Simulation,15K+,694,https://www.roblox.com/games/18778623849/Meme-Race?gameSearchSessionInfo=5c47ed97-1015-49cd-b5cb-e9d57a7db34f&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=18778623849&amp;position=0&amp;universeId=6362207891,11/5/2024 23:12
Mental [HORROR],RootPart Studios,All Ages,314,2121685,22.5M+,Supported,Not Supported,4/4/2024,10/26/2024,15,Survival,63K+,12K+,https://www.roblox.com/games/16998468076/Mental-HORROR?gameSearchSessionInfo=ee87ba9f-41f1-48f9-8999-0ef2547aaca6&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16998468076&amp;position=0&amp;universeId=5831596678,11/5/2024 23:12
Midnight Motel [HORROR],the m devs,All Ages,430,125701,24.4M+,Supported,Supported,5/20/2024,10/7/2024,44,Survival,71K+,7310,https://www.roblox.com/games/17553681767/Midnight-Motel-HORROR?gameSearchSessionInfo=1044220f-f751-4acc-a615-d3c14fda318a&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17553681767&amp;position=0&amp;universeId=6008939468,11/5/2024 23:12
Midnight Station [HORROR],Elevated Horror,All Ages,721,648376,49.7M+,Supported,Supported,6/4/2024,10/22/2024,25,Adventure,71K+,7888,https://www.roblox.com/games/17726852848/Midnight-Station-HORROR?gameSearchSessionInfo=67164ee7-77a4-41ec-a5da-915e0626b878&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17726852848&amp;position=0&amp;universeId=6071712615,11/5/2024 23:12
